title,description,posted_date,price,partitioning,surface,floor,rooms,terrace,parking,cellar,source_offer,neighborhood,posted_date_month,price_sqm
apartament cu 2 camere in zona piata lucian blaga,"koncept imobiliare va propune spre inchiriere un apartament cu 2 camere situat in centrul clujului, la doar cateva minute de casa de cultura a studentilor si piata lucian blaga. apartamentul este situat la etajul 1 intr-un imobil renovat, izolat interior si exterior, fiind compartimentat intr-un living cu bucatarie tip open-space, dormitor si baie. apartamentul a fost recent renovat si se inchiriaza complet mobilat si echipat, mobilier ikea. printre dotari mentionam geamuri termopan 3 sticle de lemn, rolete exterioare reconditionate, instalatii electrice, incalzire si apa refacute. ideal pentru o persoana sau un cuplu. pentru mai multe informatii sau pentru vizionarea ofertei nu ezitati sa ne contactati prin e-mail, telefonic sau la sediul agentiei pe strada napoca nr. 10.confort: luxtip imobil: bloc de apartamentenumăr băi: 1posibilitate parcare: nu",2019-09-24,575.0,semidecomandat,55.0,1,2.0,False,True,False,real estate agency,centru,9,10.454545454545455
"inchiriere apartament cu 3 camere decomandat, buna ziua","capital imobiliare va propune spre inchiriere un apartament cu 3 camere decomandat, situat in cartierul buna ziua, cluj-napoca. proprietatea dispune de 85 mp, iar compartimentarea este urmatoarea: 3 dormitoare, 1 bucatarie, 1 baie, 1 hol si 2 balcoane. in pretul chiriei este inclus si un loc de parcare.pentru mai multe detalii, nu ezitati sa ne contactati!id intern: ci2975confort: 1tip imobil: bloc de apartamentenumăr băi: 1nr. locuri parcare: 1",2019-09-28,600.0,decomandat,85.0,2,3.0,True,True,False,real estate agency,buna ziua,9,7.0588235294117645
apartament 2 camere modern zona iulius mall,"impakt imobiliare va propune spre inchiriere un apartament cu 2 camere la cheie.va propunem spre inchiriere un apartament cu 2 camere, cu suprafata de 52 mp utili compartimentat astfel, 1 hol, 1 bucatarie, 1 baie, 2 dormitoare, 1 balcon.apartamentul are finisaje moderne, gresie, finisaje marmura, masina de spalat haine, usa metalica, geamuri termopan, tv, plita electrica.apartamentul este la a 2-a inchiriere si este intr-o stare impecabila perfect pentru un cuplu.este situat intr-o zona linistita cu multa verdeata si aproape de punctele de interes, statia de autobuz, iulius mall, centrul orasului.apartamentul dispune si de un loc de parcare subteran inclus in pretul chiriei.pentru mai multe detalii ne puteti contacta la numerele de telefon afisate sau la sediul nostru situat pe str pitesti nr12.pret oferta 520 euro pana la 30.09.2019",2019-09-23,550.0,decomandat,52.0,nan,2.0,True,False,False,real estate agency,gheorgheni,9,10.576923076923077
"2 camere, 52 mp, bloc nou, mobilat modern, in zorilor, zona sigma center si lidl","statia de autobuz, magazine, complexul sigma center si magazinul lidl,art imobiliare va propune spre inchiriere un apartament cu 2 camere, suprafata de 52 mp, in imobil nou constructie an 2018, mobilat modern, situat in cartierul zorilor langa complexul sigma center si magazinul lidl pe strada bradutiului.apartamentul este situat in complexul andrei muresanu sud, este la etajul 1 din 4, are centrala termica proprie, incalzire in pardoseala si aer conditionat, este semidecomandat si este compartimentat astfel: dormitor cu pat dublu si dulap pentru haine, living unde este o canapea extensibila si dulap, hol, bucatarie spatioasa, o baie cu cada si un balcon.pentru mai multe informatii, nu ezitati sa ne contactati.comision: 50%",2019-09-04,400.0,semidecomandat,52.0,1,2.0,True,False,False,real estate agency,zorilor,9,7.6923076923076925
"inchiriere apartament 2 camere, decomandat, zona clabucet, m","capital imobiliare va propune spre inchiriere un apartament cu 2 camere decomandat, zona clabucet, manastur, cluj-napoca. proprietatea dispune de 40 mp, iar compartimentarea este urmatoarea: 2 camere, 1 bucatarie, 1 baie, 1 hol, 1 debara si 1 balcon.pentru mai multe detalii, nu ezitati sa ne contactati!id intern: ci3024confort: 2tip imobil: bloc de apartamentenumăr băi: 1",2019-09-04,375.0,decomandat,40.0,10,2.0,True,False,False,unknown,manastur,9,9.375
garsoniera spre inchiriere zona hasdeu,"impakt imobiliare va propune spre inchiriere o garsoniera  in zona semicentrala.garsoniera are suprafata de 28 mp utili si este compartiementat astfel: baie, bucatarie, camera, balcon 10 mp utili.detine finisaje moderne : gresie, faianta, parchet laminat, aragaz, frigider, masina de spalat haine, tv,se inchiriaza la stadiul mobilat si utilat modern.in pretul de inchiriere este inclus si-un loc de parcare.pentru mai multe detalii va rugam sa ne contactati la numerele de telefon afisate pe site sau la sediul nostru situat pe str pitesti nr 12.",2019-09-23,400.0,semidecomandat,28.0,nan,1.0,True,False,False,real estate agency,centru,9,14.285714285714286
"proprietar inchiriez ap 2 camere , finisat, gheorgheni.","ofer spre inchiriere ap 2 camere , finisat, mobilat si utilat in gheorgheni, bloc nou construit.apartamentul are o suprafata utila de 76mp +3mp balcon si este situat le etajul 4 al unui bloc recent construit aflat la 800m distanta de iulius mall.apartamentul este compus din hol intrare, baie, bucatarie, dormitor, dressing si living.pret inchiriere 500 euro/luna garaj subteran inclus in pret.",2019-09-04,500.0,semidecomandat,75.0,4,2.0,True,True,False,real estate agency,gheorgheni,9,6.666666666666667
apartament cu 2 camere de inchiriat marasti,"apartamentul este confort 1 decomandat si este dotat cu 1 baie, faianta moderna, gresie moderna, parchet laminat. imobilul mobilat si utilat modern mai are si alte dotari precum frigider, masina de spalat, aragaz. se inchiriaza prin agentie",2019-09-23,450.0,decomandat,48.0,3,2.0,True,False,False,owner,marasti,9,9.375
apartament de inchiriat 2 camere in cartierul andrei muresanu,"apartament cu o camera de inchiriere in cluj-napoca, cartierul andrei muresanu, situat la etajul 4 din 8 etaje, avand suprafata de 51 mp. apartamentul este confort lux semidecomandat si este dotat cu centrala proprie, 1 baie, 1 balcon, faianta moderna, gresie moderna, parchet laminat. imobilul mobilat si utilat modern mai are si alte dotari precum frigider, masina de spalat, aragaz, lift, interfon. se inchiriaza prin agentie.",2019-09-23,350.0,semidecomandat,51.0,4,1.0,True,False,False,owner,andrei muresanu,9,6.862745098039215
garsoniera in cluj-napoca,"umbrella premium va pune la dispozitie o garsoniera aflata pe strada oasului nr 86-90, complet utilata si mobilata avand deasemenea  toate electrocasnicele necesare (frigider, masina de spalat, aragaz, aer conditionat, centrala proprie).",2019-09-04,290.0,,28.0,nan,1.0,False,False,False,real estate agency,not found,9,10.357142857142858
inchiriere apartament 2 camere cartier gheorgheni,"apartament cu 2 camere situat in cluj-napoca, cartier gheorgheni, aleea rasinari, foarte aproape de mijloace de transport in comun, piata agroalimentara hermesapartamentul are balcon deschis, este situat la etajul 5, blocul dispune de lift. contorizare separata pentru apa si gaz.dotari: mobilat complet, masina de spalat, aragaz, frigider, centrala propriese inchiriaza pe termen lungpentru alte detalii + vizionare va rog sa ma contactati.",2019-09-22,380.0,semidecomandat,50.0,5,2.0,True,False,False,owner,gheorgheni,9,7.6
"garsoniera de inchiriat, zona autogara","garsoniera la casa, mobilata, contorizata, gresie, faianta, geamuri termopan, frigider, aragaz, masina de spalat.",2019-09-02,250.0,decomandat,35.0,nan,1.0,False,False,False,owner,centru,9,7.142857142857143
"apartament lux, situat ultracentral","koncept imobiliare va ofera spre inchiriere un apartament ultrafinisat, semidecomandat cu 2 camere in inima clujului in imediata apropiere de piata unirii. apartamentul este situat la etajul 1 a unui imobil cu curte comuna si este compartimentat dupa cum umreaza: living cu bucataria tip open--space, dormitor generos, baie si o terasa. acesta este dotat cu centrala termica proprie, aer conditionat, dispune de finisaje moderne si se inchirieaza complet mobilat, utilat. ocupabil imediat. pentru informatii suplimentare, pentru programarea unei vizionari sau pentru a afla oferta noastra completa nu ezitati sa ne contactati telefonic, prin e-mail sau la sediul agentiei noastre, pe str. napoca nr. 10.",2019-09-02,750.0,semidecomandat,50.0,1,2.0,True,False,False,unknown,centru,9,15.0
"** ap ultrafinisat cu 3 cam, prima inchiriere, zona ntt data **","va propunem spre inchiriere un apartament ultrafinisat cu 3 camere semidecomandate, semicentral, zona ntt data.apartamentul are suprafata utila de 70mp + terasa, este compus din living open space impreuna cu bucatarie, 2 dormitoare, 2 bai, hol, dressing. se afla la etajul 1 al unui imobil nou (2019), dotat cu videointerfon, lift si curte privata.detine finisaje moderne, centrala termica proprie, parchet trafic intens, combina frigorifica, masina de spalat vase, cuptor electric, plita inductie, cuptor cu microunde, masina spalat rufe cu uscator, suport uscat rufe, cabina dus, tv led hd in dormitor si living si se inchiriaza complet mobilat si utilat.apartamentul se afla la prima inchiriere!contra cost poate fi inchiriat si un loc de parcare.proprietatea se afla in imediata apropiere a mijloacelor de transport in comun, a magazinelor si altor puncte de interes, la 3 minute de mers pe jos de piata mihai viteazu si 10 minute de piata unirii.pentru mai multe detalii ne puteti contacta la numerele de telefon afisate.",2019-09-02,950.0,semidecomandat,70.0,1,3.0,True,True,False,unknown,centru,9,13.571428571428571
apartament 2 camere iulius mall viva city pet frendly,"suiradiv imobiliare vă propune spre închiriere un apartament situat în cartierul gheorgheni, zona iulius mall. apartamentul se află în apropierea punctelor de interes și a mijloacelor de transport în comun. apartamentul este compus din 1 dormitoar,1 living+ bucătărie, 1 baie. dispune  de centrală termică proprie, 1 loc de parcare contra cost iar blocul este izolat termic.id intern: 509",2019-09-02,470.0,semidecomandat,52.0,4,2.0,False,True,False,unknown,gheorgheni,9,9.038461538461538
"apartament 3 camere semidecomandat, marasti, piata abator + parcare","residence imobiliare va ofera spre inchiriere un apartament situat la etajul 4 intr-un imobil din cluj-napoca, cartierul marasti, zona piata abator, aproape de mijloacele de transport in comun. apartamentul are o suprafata de 60 mp si este semidecomandat, compartimentat in 2 dormitoare, living, bucatarie si baie. se ofera spre inchiriere complet mobilat si utilat si dispune de parcare exterioara. locuinta dispune si de aer conditionat si este disponibila spre inchirere imediat!",2019-09-02,450.0,semidecomandat,60.0,4,3.0,False,True,False,unknown,marasti,9,7.5
inchiriere apartament 2 camere semidecomandat zona dorobantilor,"id oferta: p3579homeward imobiliare va propune spre inchiriere un apartament deosebit cu 2 camere semidecomandat 58 mp, situat in zona dorobanti, in cartierul marasti.apartamentul este pozitionat la etajul 6 al unui imobil structurat pe 10 niveluri, fiind dotat cu lift.in ceea ce priveste compartimentarea acesta este semidecomandat avand urmatoarele caracteristici: un dormitor, o bucatarie open--space cu livingul, o baie si un balcon.nu dispune de loc de parcare dar exista posibilitatea de a parca in zona.locuinta beneficiaza de: termopane, parchet, gresie, faianta, centrala proprie, usa metalica la intrare.apartamentul este complet mobilat si utilat.imobilul este izolat din punct de vedere termic și este situat aproape de magazine, de mijloacele de transport.parerea agentului: apartamentul este pozitionat intr-o zona linistita, fiind ideal pentru un cuplu sau pentru studenti.in cazul în care aceasta oferta va este pe plac nu ezitati sa ne contactati.id intern: p3579",2019-09-05,400.0,semidecomandat,60.0,6,2.0,True,True,False,real estate agency,marasti,9,6.666666666666667
"apartament nou 3 camere, finisat modern, mobilat si utilat, zona semic","welt imobiliare va propune spre inchiriere un modern apartament de 3 camere, situat in ansamblul rezidentiala scala center.apartamentul are o suprafata utila de 72 mp si este compartimentat astfel: 3 camere semidecomandate, 2 bai, hol si un balcon.se inchiriaza complet mobilat si utilat si este disponibil imediat.pentru mai multe detalii nu ezitati sa ma contactati!id intern: p19236id intern: p19236",2019-09-02,550.0,semidecomandat,72.0,5,3.0,True,False,False,unknown,not found,9,7.638888888888889
